click_url,thumbnail_url,star_average,name,sold,price
https://www.lazada.vn//products/camera-wifi-yoosee-bong-den-dem-co-mau-50mpx-full-hd-sieu-net-xoay-360-do-dam-thoai-2-chieu-canh-bao-chuyen-dong-bh-14-thang-i2047316329.html,https://vn-live-01.slatic.net/p/1bede8152a7c7e15f00ef97dcc333b09.png,92,Camera wifi Yoosee bóng đèn đêm có màu 5.0mpx FULL HD siêu nét xoay 360 độ đàm thoại 2 chiều cảnh báo chuyển động BH 14  tháng,1127,211400
https://www.lazada.vn//products/camera-ngoai-troi-xoay-360-do-camera-khong-day-camera-yoosee-camera-ip-wifi-yoosee-4-rau-xoay-360-do-do-phan-giai-full-hd-5mp-1920x1080p-khong-day-i1990992449.html,https://vn-live-01.slatic.net/p/2cf6b26507df842f04f625db18c48e21.jpg,97,"Camera Ngoài Trời Xoay 360 Độ Camera Không Dây , Camera Yoosee , Camera IP Wifi Yoosee 4 Râu xoay 360 độ, độ phân giải FULL HD 5MP 1920x1080p Không Dây",374,408000
https://www.lazada.vn//products/camera-ngoai-troi-ptz-36-led-yoosee-fhd-1080p-mau-moi-xoay-360-do-chong-nuoc-xem-ban-dem-co-mau-bh-6-thang-loi-1-doi-1-i2103045006.html,https://vn-live-01.slatic.net/p/ce51ba50f13add3979c3915dd50a54ec.jpg,96,"Camera Ngoài Trời PTZ 36 LED YooSee FHD 1080P Mẫu Mới, Xoay 360 độ chống nước xem ban đêm có màu - BH 6 tháng LỖI 1 ĐỔI 1",428,295000
https://www.lazada.vn//products/100-chinh-hang-camera-wifi-ezviz-c6n-2mp-1080p-xoay-360-thong-minh-dam-thoai-2-chieu-quay-theo-chuyen-dong-camera-cs-c6n-giam-sat-wifi-khong-day-camera-toan-cau-i337146881.html,https://vn-live-01.slatic.net/p/7885dce1932c834278e155dde7d352a6.jpg,97,[100% CHÍNH HÃNG] Camera WIFI EZVIZ C6N 2MP (1080P) - Xoay 360 Thông Minh + Đàm Thoại 2 Chiều + Quay Theo Chuyển Động - Camera CS-C6N Giám Sát WIFI Không Dây - Camera Toàn Cầu,3147,509000
https://www.lazada.vn//products/camera-ip-wifi-yoosee-3-rau-new-2022-xoay-360-do-dam-thoai-2-chieu-bao-dong-chong-trom-camera-gia-dinh-nho-gon-camera-an-ninh-giam-sat-wifi-camera-wifi-yoosee-i1856444426.html,https://vn-live-01.slatic.net/p/4ba7fbc4d89eff0aab1279233867d37e.png,93,CAMERA IP WIFI YOOSEE 3 RÂU New 2022 - XOAY 360 ĐỘ - ĐÀM THOẠI 2 CHIỀU - BÁO ĐỘNG CHỐNG TRỘM-CAMERA GIA ĐÌNH NHỎ GỌN-CAMERA AN NINH GIÁM SÁT WIFI-CAMERA WIFI YOOSEE,2960,255000
https://www.lazada.vn//products/camera-wifi-ip-v380-pro-trong-nha-ngoai-troi-do-phan-giai-50mpx-moi-nhat-2021-chuc-nang-nhan-dien-khuon-mat-xoay-theo-chuyen-dong-do-phan-giai-2592-x-1920-xoay-360-bao-hanh-12-thang-i1912862886.html,https://vn-live-01.slatic.net/p/041d70d043b4aaaa76c7a459bc658574.jpg,95,CAMERA WIFI IP V380 Pro TRONG NHÀ-NGOÀI TRỜI ĐỘ PHÂN GIẢI 5.0Mpx MỚI NHẤT 2021 - Chức năng nhận diên khuôn mặt xoay theo chuyển động- ĐỘ PHÂN GIẢI 2592 X 1920- XOAY 360. BẢO HÀNH 12 THÁNG,202,120000
https://www.lazada.vn//products/camera-ip-wifi-5g-yoosee-11-led-fnkvision-50mpx-full-hd-new-2022-quay-dem-co-mau-xoay-360-do-theo-doi-doi-tuong-i2013571990.html,https://vn-live-01.slatic.net/p/d7faa62cab6b9effda134fd3057c7e0c.jpg,97,CAMERA IP WIFI 5G YOOSEE 11 LED FNKvision 5.0Mpx Full HD  New 2022 - QUAY ĐÊM CÓ MÀU - XOAY 360 ĐỘ - THEO DỖI ĐỐI TƯỢNG,1032,210000
https://www.lazada.vn//products/hcmcamera-ip-wifi-khong-day-xoay-360-ezviz-c6n-2mp-1080p-new-dam-thoai-2-chieu-theo-doi-chuyen-dong-tich-hop-ai-i1089144117.html,https://vn-live-01.slatic.net/p/26812abc8f39c242fa20625b6d43ae0d.png,98,"[HCM]Camera IP WiFi Không Dây Xoay 360° EZVIZ C6N 2MP 1080P  (NEW) - Đàm thoại 2 chiều, theo dõi chuyển động, tích hợp AI",2124,492000
https://www.lazada.vn//products/camera-ip-wifi-ezviz-c6n-20mp-xoay-360d-chinh-hang-fullbox-100-i1221150986.html,https://vn-live-01.slatic.net/p/fc1f842acc7b7c5c602f443b22afc227.jpg,98,"Camera IP Wifi EZVIZ C6N 2.0MP, Xoay 360đ, Chính hãng Fullbox 100%",931,195000
https://www.lazada.vn//products/camera-wifi-imou-c22ep-hoac-c22sp-dam-thoai-2-chieu-bao-dong-chong-trom-chinh-hang-fullbox-100-i1237135825.html,https://vn-live-01.slatic.net/p/a34d42c8f10cb38cc1dbdc16fc38ab71.jpg,98,"Camera Wifi Imou C22EP Hoặc C22SP, đàm thoại 2 chiều, báo động chống trộm, Chính hãng Fullbox 100%",999,431204
https://www.lazada.vn//products/bh-1-nam-tuy-chon-the-3264128-camera-ngoai-troi-ptz-36-led-yoosee-fhd-1080p-mau-moi-xoay-360-do-chong-nuoc-xem-ban-dem-co-mau-i2127611147.html,https://vn-live-01.slatic.net/p/deddda05de566fe4057db9dfa10f3c7e.png,93,"(BH 1 NĂM - TÙY CHỌN THẺ 32/64/128 ) Camera Ngoài Trời PTZ 36 LED YooSee FHD 1080P Mẫu Mới, Xoay 360 độ chống nước xem ban đêm có màu",133,280820
https://www.lazada.vn//products/camera-yoosee-3-rau-trong-nha-50mpx-xoay-360-do-ho-tro-xem-dem-co-mau-dam-thoai-2-chieu-bao-hanh-trong-vong-12-thang-1-doi-1-trong-vong-7-ngay-neu-san-pham-co-loi-i1968773121.html,https://vn-live-01.slatic.net/p/23196e869bdf05d0c362cfc7bb145ba6.png,93,"Camera Yoosee 3 râu trong nhà 5.0mpx xoay 360 độ, hỗ trợ xem đêm có màu, đàm thoại 2 chiều, bảo hành trong vòng 12 tháng, 1 đổi 1 trong vòng 7 ngày nếu sản phẩm có lỗi",264,235000
https://www.lazada.vn//products/camera-ip-wifi-5g-yoosee-11-led-fnkvision-50mp-quan-sat-360-do-the-he-moi-5-ang-ten-full-hd-xem-dem-co-mau-phien-ban-tieng-viet-i2080848368.html,https://vn-live-01.slatic.net/p/0efaf6170008d83478f86d6344c7a265.png,98,"Camera IP Wifi 5G Yoosee 11 LED FNKVISION 5.0MP quan sát 360 độ, thế hệ mới 5 ăng ten, Full HD, xem đêm có màu, phiên bản tiếng việt",163,258000
https://www.lazada.vn//products/camera-ezviz-h8-5m-pro-3k-qhd-xoay-360-do-dam-thoai-2-chieu-bao-dong-chong-trom-ban-dem-co-mau-wifi-ngoai-troi-chinh-hang-i2135724746.html,https://vn-live-01.slatic.net/p/ab9c38019908d3fe384a81dfbce20c90.jpg,100,Camera EZVIZ H8 5M Pro 3K QHD Xoay 360 Độ- Đàm Thoại 2 Chiều- Báo Động Chống Trộm- Ban Đêm Có Màu- Wifi Ngoài Trời Chính Hãng,98,1449000
https://shopee.vn/CAMERA-IP-WIFI-YOOSEE-11-LED-FNKvision-5.0Mpx-Full-HD-New-2022-QUAY-ĐÊM-CÓ-MÀU-XOAY-360-ĐỘ-THEO-DÕI-CHUYỂN-ĐỘNG-i.816505872.20952877374,https://cf.shopee.vn/file/sg-11134201-22100-pbj421b14wivfb,96,CAMERA IP WIFI YOOSEE 11 LED FNKvision 5.0Mpx Full HD  New 2022 - QUAY ĐÊM CÓ MÀU - XOAY 360 ĐỘ - THEO DÕI CHUYỂN ĐỘNG,4183,225000
